-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,
0.0,111.1,0.0,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,
1.0,0.0,102.1,4.6,0.0,0.1,0.3,1.6,0.8,0.0,2.5,
2.0,1.4,1.3,107.8,0.3,0.0,0.0,0.1,1.6,0.0,0.5,
3.0,2.5,5.2,9.8,64.8,0.2,8.8,0.4,8.5,0.0,12.8,
4.0,1.9,4.3,0.5,0.0,93.0,1.6,2.6,8.3,0.0,0.8,
5.0,0.5,0.0,0.7,0.2,1.0,104.5,0.6,0.0,0.0,5.5,
6.0,0.2,1.4,0.0,0.0,0.6,0.0,109.8,0.0,0.0,0.0,
7.0,0.0,0.3,0.2,0.0,0.4,0.6,0.0,110.5,0.0,0.0,
8.0,6.2,28.0,14.3,8.5,4.5,19.8,15.2,9.7,0.0,5.8,
9.0,13.2,6.2,1.4,17.4,6.9,10.4,0.5,7.8,0.0,48.2,
