-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,
0.0,33.4,4.8,13.7,5.9,8.7,6.3,8.1,14.7,10.0,6.4,
1.0,6.2,22.3,13.2,17.0,5.4,15.4,12.3,12.0,3.5,4.7,
2.0,12.1,15.5,17.9,6.9,5.4,13.2,13.5,13.4,5.3,9.8,
3.0,18.0,11.1,14.8,6.6,7.6,8.6,20.1,9.6,9.7,6.9,
4.0,8.4,6.3,7.7,18.0,12.3,7.2,8.8,11.8,9.9,22.6,
5.0,9.7,5.1,8.7,10.0,11.9,13.9,17.6,18.8,10.9,6.4,
6.0,14.0,13.6,4.7,10.3,11.4,9.8,21.2,11.9,7.0,8.1,
7.0,4.4,16.2,13.3,29.9,2.9,12.1,9.7,10.1,9.5,3.9,
8.0,15.2,11.8,10.3,11.8,5.4,16.1,17.4,9.4,5.7,8.9,
9.0,23.4,9.4,7.4,8.5,13.3,8.9,10.4,9.3,13.1,8.3,
