-1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,
0.0,99.4,0.5,0.1,1.1,1.9,2.1,0.9,0.1,2.3,3.6,
1.0,1.0,50.3,13.3,2.5,9.3,5.3,6.4,10.3,8.4,5.2,
2.0,7.8,8.0,62.9,6.0,1.2,2.3,7.2,7.3,6.8,3.5,
3.0,11.3,8.1,23.0,14.6,0.3,13.7,4.6,12.0,5.9,19.5,
4.0,16.6,12.6,0.7,1.9,32.2,5.3,20.3,14.0,3.8,5.6,
5.0,11.9,4.3,5.4,3.3,2.8,56.5,7.3,9.1,3.1,9.3,
6.0,17.3,3.1,4.8,1.2,12.5,7.8,53.9,2.2,7.3,1.9,
7.0,4.8,6.2,4.9,4.0,8.5,7.9,1.8,65.8,4.5,3.6,
8.0,17.1,14.3,8.6,2.2,2.0,10.9,11.0,9.0,29.6,7.3,
9.0,26.2,7.1,3.2,3.2,3.4,9.1,2.4,10.4,5.4,41.6,
