Linhas representam a realidade, enquanto colunas mostram as respostas da rede.
		0	1	2	3	4	5	6	7	8	9
	0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	1	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2	0.0	0.0	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	3	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0
	4	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0
	5	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0
	6	0.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0
	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0
	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0
	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
