epocaAtual;taxaErros;erroQuadrado;taxaAprendizadoAtual;idRede
1;0.7740213523131673;27750.378678732566;0.001;
2;0.5922301304863582;19012.00891327215;0.001;
3;0.4655990510083037;16754.79377296922;0.001;
4;0.3763345195729537;16268.584100161066;0.001;
5;0.32147093712930014;16291.156266319611;0.001;
6;0.2772835112692764;16474.34968005897;0.001;
7;0.2422894424673784;16703.49639467045;0.001;
8;0.21826809015421114;16940.31032740708;0.001;
9;0.19780545670225386;17172.18421998427;0.001;
10;0.18090154211150652;17394.15226231449;0.001;
11;0.16637010676156583;17604.086325275824;0.001;
12;0.15510083036773428;17801.477106432212;0.001;
13;0.14679715302491103;17986.548311150644;0.001;
14;0.13048635824436536;18159.753189756673;0.001;
15;0.12247924080664294;18321.655667964304;0.001;
16;0.11654804270462633;18472.950082925472;0.001;
17;0.11002372479240807;18614.42026131834;0.001;
18;0.10705812574139977;18746.847079903706;0.001;
19;0.10260972716488731;18870.959496762483;0.001;
20;0.09845788849347568;18987.45253394838;0.001;
21;0.09223013048635824;19096.97554655712;0.001;
22;0.09104389086595492;19200.12080157866;0.001;
23;0.08659549228944247;19297.422442973915;0.001;
24;0.08333333333333333;19389.358833206014;0.001;
25;0.08066429418742586;19476.3608160076;0.001;
26;0.07680901542111507;19558.826241335424;0.001;
27;0.0753262158956109;19637.135596628603;0.001;
28;0.07236061684460261;19711.65813051563;0.001;
29;0.07147093712930012;19782.73610243992;0.001;
30;0.07058125741399762;19850.65560293199;0.001;
31;0.06791221826809016;19915.65759985383;0.001;
32;0.06524317912218268;19977.958228392105;0.001;
33;0.06435349940688019;20037.623046560417;0.001;
34;0.06287069988137604;20094.677719292555;0.001;
35;0.060794780545670224;20149.242959587216;0.001;
36;0.05842230130486358;20201.484989970133;0.001;
37;0.057236061684460264;20251.581371065186;0.001;
38;0.054863582443653615;20299.70872575366;0.001;
39;0.0536773428232503;20346.03639183625;0.001;
40;0.051897983392645314;20390.722993641342;0.001;
41;0.0498220640569395;20433.91396176513;0.001;
42;0.04863582443653618;20475.73870837465;0.001;
43;0.04715302491103203;20516.308572649887;0.001;
44;0.0468564650059312;20555.717880363256;0.001;
45;0.046263345195729534;20594.04742978416;0.001;
46;0.04359430604982206;20631.3644856713;0.001;
47;0.043001186239620404;20667.714219807363;0.001;
48;0.04181494661921708;20703.118853483564;0.001;
49;0.04033214709371293;20737.599111830794;0.001;
50;0.04033214709371293;20771.18662564;0.001;
51;0.03855278766310795;20803.916703867515;0.001;
52;0.03795966785290629;20835.820388051212;0.001;
53;0.037069988137603795;20866.921408002287;0.001;
54;0.036773428232502965;20897.2358830076;0.001;
55;0.037069988137603795;20926.773589453696;0.001;
56;0.03558718861209965;20955.54081976192;0.001;
57;0.03499406880189798;20983.544806647482;0.001;
58;0.03499406880189798;21010.79872471005;0.001;
59;0.03499406880189798;21037.32545258469;0.001;
60;0.034104389086595494;21063.15875095919;0.001;
61;0.033807829181494664;21088.34200961618;0.001;
62;0.033807829181494664;21112.9253533676;0.001;
63;0.033511269276393835;21136.96071503757;0.001;
64;0.033214709371293;21160.494162509163;0.001;
65;0.033214709371293;21183.558652360047;0.001;
66;0.03291814946619217;21206.173204144445;0.001;
67;0.03291814946619217;21228.34841508879;0.001;
68;0.03291814946619217;21250.091597089227;0.001;
69;0.03262158956109134;21271.40769752712;0.001;
70;0.03262158956109134;21292.29814020434;0.001;
71;0.03143534994068802;21312.76095713378;0.001;
72;0.03143534994068802;21332.793039171487;0.001;
73;0.030545670225385527;21352.393076397122;0.001;
74;0.029952550415183868;21371.56360363052;0.001;
75;0.029952550415183868;21390.311629035292;0.001;
76;0.02965599051008304;21408.648204307905;0.001;
77;0.029062870699881376;21426.587523393668;0.001;
78;0.029062870699881376;21444.145953955205;0.001;
79;0.027876631079478055;21461.341150634642;0.001;
80;0.027283511269276393;21478.191261180695;0.001;
81;0.027283511269276393;21494.714242678794;0.001;
82;0.027283511269276393;21510.927356452637;0.001;
83;0.02609727164887307;21526.846888374625;0.001;
84;0.02609727164887307;21542.4880449643;0.001;
85;0.02609727164887307;21557.86491044677;0.001;
86;0.02609727164887307;21572.990379056337;0.001;
87;0.02609727164887307;21587.876055610926;0.001;
88;0.025800711743772242;21602.53217014328;0.001;
89;0.025800711743772242;21616.967549404646;0.001;
90;0.025800711743772242;21631.189649336862;0.001;
91;0.025800711743772242;21645.204616253868;0.001;
92;0.025800711743772242;21659.01733949733;0.001;
93;0.025504151838671413;21672.631492022567;0.001;
94;0.025504151838671413;21686.049608981884;0.001;
95;0.025504151838671413;21699.273285838986;0.001;
96;0.025504151838671413;21712.303545730676;0.001;
97;0.025504151838671413;21725.141336349283;0.001;
98;0.02520759193357058;21737.788035470094;0.001;
99;0.02520759193357058;21750.245836538532;0.001;
100;0.02520759193357058;21762.517948153203;0.001;
101;0.02520759193357058;21774.608616587444;0.001;
102;0.02461447212336892;21786.523022563088;0.001;
103;0.02461447212336892;21798.267107404597;0.001;
104;0.02402135231316726;21809.847368201907;0.001;
105;0.02402135231316726;21821.270644617052;0.001;
106;0.023131672597864767;21832.543909400694;0.001;
107;0.023131672597864767;21843.674070866207;0.001;
108;0.022835112692763938;21854.66779566184;0.001;
109;0.022538552787663108;21865.531361121597;0.001;
110;0.022538552787663108;21876.270546167274;0.001;
111;0.020759193357058125;21886.890567318613;0.001;
112;0.020759193357058125;21897.396062055646;0.001;
113;0.020462633451957295;21907.791116460197;0.001;
114;0.020166073546856466;21918.07932886843;0.001;
115;0.018979833926453145;21928.263897211422;0.001;
116;0.018979833926453145;21938.3477154965;0.001;
117;0.018979833926453145;21948.333464865107;0.001;
118;0.018979833926453145;21958.223686917605;0.001;
119;0.018683274021352312;21968.020831207476;0.001;
120;0.018683274021352312;21977.727274254576;0.001;
121;0.018683274021352312;21987.345312966685;0.001;
122;0.018683274021352312;21996.877139722532;0.001;
123;0.018683274021352312;22006.324808613448;0.001;
124;0.018090154211150653;22015.690202166817;0.001;
125;0.018090154211150653;22024.975005782955;0.001;
126;0.017793594306049824;22034.18069400892;0.001;
127;0.01749703440094899;22043.308529681974;0.001;
128;0.016903914590747332;22052.35957457372;0.001;
129;0.016903914590747332;22061.334708763305;0.001;
130;0.016903914590747332;22070.23465550311;0.001;
131;0.0166073546856465;22079.060008550587;0.001;
132;0.0166073546856465;22087.811259529906;0.001;
133;0.0166073546856465;22096.48882360497;0.001;
134;0.01601423487544484;22105.09306241121;0.001;
135;0.01601423487544484;22113.624303741144;0.001;
136;0.01601423487544484;22122.082857865807;0.001;
137;0.01601423487544484;22130.46903062092;0.001;
